# OWD receiver: AF43  port=5003
[1752378458.210898] seq=1 owd=40.108 ms
[1752378458.230882] seq=2 owd=40.072 ms
[1752378458.250873] seq=3 owd=40.066 ms
[1752378458.270884] seq=4 owd=40.078 ms
[1752378458.290936] seq=5 owd=40.118 ms
[1752378458.310905] seq=6 owd=40.090 ms
[1752378458.331029] seq=7 owd=40.117 ms
[1752378458.350885] seq=8 owd=40.071 ms
[1752378458.370921] seq=9 owd=40.107 ms
[1752378458.390900] seq=10 owd=40.098 ms
[1752378458.410923] seq=11 owd=40.110 ms
[1752378458.522528] seq=16 owd=51.716 ms
[1752378458.602728] seq=20 owd=51.939 ms
[1752378458.662694] seq=23 owd=51.895 ms
[1752378458.722690] seq=26 owd=51.892 ms
[1752378458.782673] seq=29 owd=51.877 ms
[1752378458.842616] seq=32 owd=51.818 ms
[1752378458.922846] seq=36 owd=52.034 ms
[1752378459.502590] seq=65 owd=51.783 ms
[1752378459.642704] seq=72 owd=51.888 ms
[1752378459.702673] seq=75 owd=51.866 ms
[1752378459.762617] seq=78 owd=51.816 ms
[1752378459.822571] seq=81 owd=51.742 ms
[1752378459.942443] seq=87 owd=51.645 ms
[1752378460.022661] seq=91 owd=51.857 ms
[1752378460.042130] seq=92 owd=51.082 ms
[1752378460.202501] seq=100 owd=51.686 ms
[1752378460.282741] seq=104 owd=51.933 ms
[1752378460.462555] seq=113 owd=51.727 ms
[1752378460.722507] seq=126 owd=51.692 ms
[1752378460.782466] seq=129 owd=51.662 ms
[1752378460.801945] seq=130 owd=51.141 ms
[1752378460.982523] seq=139 owd=51.692 ms
[1752378461.140473] seq=147 owd=49.681 ms
[1752378461.522779] seq=166 owd=51.965 ms
[1752378461.582711] seq=169 owd=51.896 ms
[1752378461.981947] seq=189 owd=51.159 ms
[1752378462.562612] seq=218 owd=51.806 ms
[1752378462.762699] seq=228 owd=51.892 ms
[1752378462.822635] seq=231 owd=51.794 ms
[1752378463.022694] seq=241 owd=51.855 ms
[1752378463.082658] seq=244 owd=51.846 ms
[1752378463.282709] seq=254 owd=51.899 ms
[1752378463.542672] seq=267 owd=51.877 ms
[1752378463.602621] seq=270 owd=51.822 ms
[1752378463.802684] seq=280 owd=51.876 ms
[1752378463.818904] seq=281 owd=48.087 ms
[1752378463.861858] seq=283 owd=51.018 ms
[1752378463.922631] seq=286 owd=51.820 ms
[1752378464.122685] seq=296 owd=51.874 ms
[1752378464.182655] seq=299 owd=51.833 ms
[1752378464.382729] seq=309 owd=51.916 ms
[1752378464.442684] seq=312 owd=51.864 ms
[1752378464.502635] seq=315 owd=51.822 ms
[1752378464.642724] seq=322 owd=51.858 ms
[1752378464.702691] seq=325 owd=51.892 ms
[1752378464.762668] seq=328 owd=51.852 ms
[1752378464.822621] seq=331 owd=51.792 ms
[1752378465.022656] seq=341 owd=51.842 ms
[1752378465.222713] seq=351 owd=51.904 ms
[1752378465.282668] seq=354 owd=51.857 ms
[1752378465.342619] seq=357 owd=51.820 ms
[1752378465.401810] seq=360 owd=51.009 ms
[1752378465.462612] seq=363 owd=51.807 ms
[1752378465.662698] seq=373 owd=51.891 ms
[1752378465.722647] seq=376 owd=51.841 ms
[1752378465.782602] seq=379 owd=51.804 ms
[1752378465.922758] seq=386 owd=51.962 ms
[1752378465.982692] seq=389 owd=51.872 ms
[1752378466.042659] seq=392 owd=51.849 ms
[1752378466.102600] seq=395 owd=51.771 ms
[1752378466.162561] seq=398 owd=51.738 ms
[1752378466.302677] seq=405 owd=51.875 ms
[1752378466.362641] seq=408 owd=51.773 ms
[1752378466.422597] seq=411 owd=51.753 ms
[1752378466.622642] seq=421 owd=51.831 ms
[1752378466.682597] seq=424 owd=51.795 ms
[1752378466.742561] seq=427 owd=51.759 ms
[1752378466.942658] seq=437 owd=51.848 ms
[1752378467.002611] seq=440 owd=51.817 ms
[1752378467.142750] seq=447 owd=51.931 ms
[1752378467.202702] seq=450 owd=51.887 ms
[1752378467.262644] seq=453 owd=51.829 ms
[1752378467.322606] seq=456 owd=51.794 ms
[1752378467.382574] seq=459 owd=51.747 ms
[1752378467.462743] seq=463 owd=51.915 ms
[1752378467.522715] seq=466 owd=51.907 ms
[1752378467.582696] seq=469 owd=51.880 ms
[1752378467.642624] seq=472 owd=51.809 ms
[1752378467.702562] seq=475 owd=51.770 ms
[1752378467.762528] seq=478 owd=51.710 ms
[1752378467.842730] seq=482 owd=51.884 ms
[1752378467.902697] seq=485 owd=51.888 ms
[1752378467.962631] seq=488 owd=51.824 ms
[1752378468.022605] seq=491 owd=51.805 ms
[1752378468.061493] seq=493 owd=50.694 ms
[1752378468.081774] seq=494 owd=50.973 ms
[1752378468.142560] seq=497 owd=51.761 ms
[1752378468.202516] seq=500 owd=51.715 ms
[1752378468.282726] seq=504 owd=51.919 ms
[1752378468.342673] seq=507 owd=51.860 ms
[1752378468.401907] seq=510 owd=51.100 ms
[1752378468.462645] seq=513 owd=51.825 ms
[1752378468.522606] seq=516 owd=51.785 ms
[1752378468.542078] seq=517 owd=51.178 ms
[1752378468.581779] seq=519 owd=50.961 ms
[1752378468.642538] seq=522 owd=51.720 ms
[1752378468.702479] seq=525 owd=51.678 ms
[1752378468.782723] seq=529 owd=51.912 ms
[1752378468.842661] seq=532 owd=51.840 ms
[1752378468.902636] seq=535 owd=51.824 ms
[1752378468.962602] seq=538 owd=51.783 ms
[1752378469.022516] seq=541 owd=51.704 ms
[1752378469.082483] seq=544 owd=51.681 ms
[1752378469.222615] seq=551 owd=51.812 ms
[1752378469.282587] seq=554 owd=51.777 ms
[1752378469.482694] seq=564 owd=51.895 ms
[1752378469.542648] seq=567 owd=51.833 ms
[1752378469.742706] seq=577 owd=51.887 ms
[1752378469.942760] seq=587 owd=51.942 ms
[1752378470.002714] seq=590 owd=51.893 ms
[1752378470.681778] seq=624 owd=50.960 ms
[1752378470.742583] seq=627 owd=51.784 ms
[1752378471.082699] seq=644 owd=51.889 ms
[1752378471.142660] seq=647 owd=51.861 ms
[1752378471.342751] seq=657 owd=51.928 ms
[1752378471.602695] seq=670 owd=51.878 ms
[1752378471.741179] seq=677 owd=50.212 ms
[1752378471.922638] seq=686 owd=51.795 ms
[1752378472.042503] seq=692 owd=51.691 ms
[1752378472.322768] seq=706 owd=51.941 ms
[1752378472.382718] seq=709 owd=51.911 ms
[1752378472.842686] seq=732 owd=51.888 ms
[1752378473.102666] seq=745 owd=51.850 ms
[1752378473.302708] seq=755 owd=51.860 ms
[1752378473.362666] seq=758 owd=51.842 ms
[1752378473.622685] seq=771 owd=51.887 ms
[1752378473.682640] seq=774 owd=51.837 ms
[1752378473.882716] seq=784 owd=51.892 ms
[1752378473.942711] seq=787 owd=51.908 ms
[1752378474.002626] seq=790 owd=51.796 ms
[1752378474.142764] seq=797 owd=51.945 ms
