time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1334,1067,585
2,7348830,3532291,1646754
3,7116479,3559034,1778543
4,7058907,3529032,1766323
5,7124724,3562021,1780589
6,7123132,3561914,1780321
7,7121841,3559757,1781309
8,7120517,3561242,1779932
9,7120268,3560697,1780428
10,7128798,3563223,1781823
11,7118055,3559942,1778847
12,7119301,3559865,1780361
13,7131938,3564724,1782075
14,7123292,3561860,1780643
15,7119980,3560308,1779605
16,7117694,3559248,1779544
17,7126454,3562458,1781202
18,7119301,3559757,1781202
19,7126055,3563482,1779972
20,7387059,3592904,1749391
21,10671143,4426866,1761524
22,8917934,3677904,2191674
23,7117656,3558166,1778930
24,7119410,3560658,1779357
25,7133102,3566264,1783132
26,7117763,3558220,1778394
27,7112342,3556992,1777889
28,7126760,3563433,1781164
29,7131902,3565611,1782386
30,7120506,3560452,1780506
31,7122316,3560605,1779303
32,7128241,3564049,1782315
33,7116426,3557926,1778543
34,7117732,3560007,1779423
35,7131962,3565480,1781470
36,7116411,3558473,1779316
37,7130692,3565426,1782954
38,7119194,3559757,1778609
39,7126001,3562053,1781240
40,7047583,3524071,1767349
41,7055990,3527225,1763567
42,7122289,3560321,1780750
43,7378938,3601152,1819027
44,7133285,3566803,1782686
45,7054049,3525895,1762396
46,7124916,3562726,1781470
47,7126103,3563346,1780321
48,7120375,3560321,1780643
49,7122021,3560589,1780482
50,7122589,3561385,1779829
51,7122196,3569092,1797068
52,7124970,3562511,1780468
53,7120321,3560214,1780482
54,7122122,3561275,1779263
55,7127112,3564372,1781582
56,7117656,3558220,1780414
57,7126156,3563239,1780750
58,7126240,3562672,1781309
59,7119177,3560463,1779490
60,7123563,3561426,1781440
61,3734260,1891465,1103878
62,0,0,0
63,0,0,0
64,0,0,0
