Connecting to host 10.20.1.1, port 1000
[  5] local 10.10.1.1 port 41190 connected to 10.20.1.1 port 1000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  2681170  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  0.000 ms  0/2681170 (0%)  sender
[  5]   0.00-60.10  sec   396 MBytes  55.3 Mbits/sec  0.034 ms  2384471/2681162 (89%)  receiver

Server output:
Accepted connection from 10.10.1.1, port 53998
[  5] local 10.20.1.1 port 1000 connected to 10.10.1.1 port 41190
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  6.96 MBytes  58.4 Mbits/sec  0.025 ms  39196/44412 (88%)  
[  5]   1.00-2.00   sec  6.53 MBytes  54.8 Mbits/sec  0.031 ms  39753/44642 (89%)  
[  5]   2.00-3.00   sec  6.59 MBytes  55.3 Mbits/sec  0.035 ms  39701/44640 (89%)  
[  5]   3.00-4.00   sec  6.59 MBytes  55.3 Mbits/sec  0.032 ms  39674/44609 (89%)  
[  5]   4.00-5.00   sec  6.60 MBytes  55.3 Mbits/sec  0.026 ms  39734/44677 (89%)  
[  5]   5.00-6.00   sec  6.60 MBytes  55.3 Mbits/sec  0.039 ms  39711/44651 (89%)  
[  5]   6.00-7.00   sec  6.59 MBytes  55.3 Mbits/sec  0.029 ms  39701/44640 (89%)  
[  5]   7.00-8.00   sec  6.59 MBytes  55.3 Mbits/sec  0.022 ms  39661/44595 (89%)  
[  5]   8.00-9.00   sec  6.60 MBytes  55.3 Mbits/sec  0.025 ms  39710/44650 (89%)  
[  5]   9.00-10.00  sec  6.60 MBytes  55.3 Mbits/sec  0.025 ms  39742/44686 (89%)  
[  5]  10.00-11.00  sec  6.59 MBytes  55.3 Mbits/sec  0.044 ms  39703/44642 (89%)  
[  5]  11.00-12.00  sec  6.59 MBytes  55.3 Mbits/sec  0.021 ms  39663/44597 (89%)  
[  5]  12.00-13.00  sec  6.60 MBytes  55.3 Mbits/sec  0.046 ms  39741/44685 (89%)  
[  5]  13.00-14.00  sec  6.59 MBytes  55.3 Mbits/sec  0.033 ms  39703/44642 (89%)  
[  5]  14.00-15.00  sec  6.53 MBytes  54.8 Mbits/sec  0.063 ms  39756/44646 (89%)  
[  5]  15.00-16.00  sec  6.59 MBytes  55.3 Mbits/sec  0.028 ms  39662/44596 (89%)  
[  5]  16.00-17.00  sec  6.60 MBytes  55.3 Mbits/sec  0.027 ms  39741/44685 (89%)  
[  5]  17.00-18.00  sec  6.53 MBytes  54.8 Mbits/sec  0.032 ms  39751/44640 (89%)  
[  5]  18.00-19.00  sec  6.60 MBytes  55.3 Mbits/sec  0.027 ms  39713/44653 (89%)  
[  5]  19.00-20.00  sec  6.59 MBytes  55.3 Mbits/sec  0.034 ms  39663/44597 (89%)  
[  5]  20.00-21.00  sec  6.60 MBytes  55.3 Mbits/sec  0.023 ms  39743/44687 (89%)  
[  5]  21.00-22.00  sec  6.59 MBytes  55.3 Mbits/sec  0.028 ms  39700/44639 (89%)  
[  5]  22.00-23.00  sec  6.59 MBytes  55.3 Mbits/sec  0.030 ms  39663/44597 (89%)  
[  5]  23.00-24.00  sec  6.60 MBytes  55.3 Mbits/sec  0.040 ms  39743/44687 (89%)  
[  5]  24.00-25.00  sec  6.60 MBytes  55.3 Mbits/sec  0.038 ms  39706/44646 (89%)  
[  5]  25.00-26.00  sec  6.59 MBytes  55.3 Mbits/sec  0.028 ms  39705/44644 (89%)  
[  5]  26.00-27.00  sec  6.59 MBytes  55.3 Mbits/sec  0.045 ms  39663/44597 (89%)  
[  5]  27.00-28.00  sec  6.60 MBytes  55.3 Mbits/sec  0.039 ms  39711/44651 (89%)  
[  5]  28.00-29.00  sec  6.60 MBytes  55.3 Mbits/sec  0.038 ms  39735/44678 (89%)  
[  5]  29.00-30.00  sec  6.59 MBytes  55.3 Mbits/sec  0.102 ms  39680/44616 (89%)  
[  5]  30.00-31.00  sec  6.60 MBytes  55.3 Mbits/sec  0.004 ms  39732/44675 (89%)  
[  5]  31.00-32.00  sec  6.59 MBytes  55.3 Mbits/sec  0.036 ms  39705/44644 (89%)  
[  5]  32.00-33.00  sec  6.59 MBytes  55.3 Mbits/sec  0.034 ms  39658/44592 (89%)  
[  5]  33.00-34.00  sec  6.60 MBytes  55.3 Mbits/sec  0.045 ms  39743/44687 (89%)  
