time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,633759,138772,1200
2,7252205,3587211,1767079
3,7045135,3523361,1763454
4,7131938,3566049,1782075
5,7116303,3558190,1779007
6,7119143,3559179,1779357
7,7127724,3563888,1782793
8,7125245,3562649,1780691
9,7123529,3561924,1780195
10,7120525,3559769,1780774
11,7119606,3559883,1780128
12,7123486,3562511,1780253
13,7126571,3562733,1781660
14,7126264,3563400,1780536
15,7118806,3559128,1780667
16,7117808,3558938,1778970
17,7133522,3566073,1782455
18,7106569,3554023,1777385
19,7139205,3569020,1784671
20,7118868,3559072,1779536
21,7124755,3562833,1781630
22,7117656,3559918,1778930
23,7133209,3566210,1782075
24,7121968,3560375,1780750
25,7118055,3568632,1786267
26,7129074,3564778,1783185
27,7119050,3560482,1778943
28,7052061,3524735,1762394
29,7113396,3556938,1779263
30,7126347,3564049,1781470
31,7123571,3560463,1781080
32,7054770,3527182,1762346
33,7116304,3557259,1778370
34,7125147,3563403,1781561
35,7132152,3566317,1782075
36,7114958,3557140,1778703
37,7134984,3568180,1784277
38,7119050,3558997,1780268
39,7119177,3560570,1779704
40,7127465,3562505,1781437
41,7117823,3559125,1779303
42,7126186,3564049,1780414
43,7124778,3561860,1781860
44,7116664,3558790,1778727
45,7129074,3563346,1781914
46,7106675,3554023,1775853
47,7136332,3567061,1784136
48,7128051,3564345,1782039
49,7108047,3554290,1777225
50,7133125,3566857,1783007
51,7120588,3559954,1781011
52,7123378,3561349,1780361
53,7127696,3563507,1782075
54,7117772,3559219,1778727
55,7129074,3564671,1781807
56,7117732,3559740,1780584
57,7127617,3562565,1781470
58,7124462,3563056,1780372
59,7116172,3558166,1778769
60,7122055,3559811,1780146
61,2763857,1473096,862676
62,0,0,0
63,0,0,0
