# OWD receiver: Rx3-OWD  port=5003
[1781068400.466972] seq=1 owd=40.335 ms
[1781068400.486864] seq=2 owd=40.099 ms
[1781068400.506903] seq=3 owd=40.088 ms
[1781068400.526873] seq=4 owd=40.111 ms
[1781068400.546930] seq=5 owd=40.175 ms
[1781068400.567006] seq=6 owd=40.164 ms
[1781068400.586949] seq=7 owd=40.184 ms
[1781068400.606950] seq=8 owd=40.184 ms
[1781068400.627011] seq=9 owd=40.207 ms
[1781068400.646938] seq=10 owd=40.169 ms
[1781068400.666859] seq=11 owd=40.112 ms
[1781068400.686754] seq=12 owd=40.075 ms
[1781068400.706740] seq=13 owd=40.075 ms
[1781068400.726695] seq=14 owd=40.043 ms
[1781068400.746686] seq=15 owd=40.033 ms
[1781068400.766681] seq=16 owd=40.027 ms
[1781068400.786675] seq=17 owd=40.026 ms
[1781068400.806671] seq=18 owd=40.025 ms
[1781068400.826749] seq=19 owd=40.102 ms
[1781068400.846780] seq=20 owd=40.134 ms
[1781068400.866809] seq=21 owd=40.162 ms
[1781068400.886781] seq=22 owd=40.136 ms
[1781068400.906778] seq=23 owd=40.127 ms
[1781068400.926774] seq=24 owd=40.129 ms
[1781068400.946688] seq=25 owd=40.045 ms
[1781068400.966690] seq=26 owd=40.046 ms
[1781068400.986686] seq=27 owd=40.041 ms
[1781068401.006683] seq=28 owd=40.037 ms
[1781068401.026688] seq=29 owd=40.043 ms
[1781068401.046877] seq=30 owd=40.231 ms
[1781068401.066695] seq=31 owd=40.046 ms
[1781068401.086872] seq=32 owd=40.076 ms
[1781068401.106716] seq=33 owd=40.047 ms
[1781068401.126805] seq=34 owd=40.064 ms
[1781068401.146793] seq=35 owd=40.054 ms
[1781068401.166793] seq=36 owd=40.056 ms
[1781068401.186727] seq=37 owd=40.068 ms
[1781068401.207000] seq=38 owd=40.257 ms
[1781068401.226809] seq=39 owd=40.149 ms
[1781068401.246881] seq=40 owd=40.145 ms
[1781068401.266882] seq=41 owd=40.152 ms
[1781068401.286791] seq=42 owd=40.142 ms
[1781068401.306862] seq=43 owd=40.129 ms
[1781068401.326880] seq=44 owd=40.162 ms
[1781068401.346919] seq=45 owd=40.158 ms
[1781068401.366938] seq=46 owd=40.148 ms
[1781068401.386908] seq=47 owd=40.147 ms
[1781068401.406851] seq=48 owd=40.082 ms
[1781068401.426917] seq=49 owd=40.143 ms
[1781068401.446910] seq=50 owd=40.154 ms
[1781068401.466910] seq=51 owd=40.156 ms
[1781068401.486909] seq=52 owd=40.153 ms
[1781068401.506868] seq=53 owd=40.112 ms
[1781068401.526924] seq=54 owd=40.173 ms
[1781068401.546894] seq=55 owd=40.163 ms
[1781068401.566909] seq=56 owd=40.154 ms
[1781068401.586937] seq=57 owd=40.178 ms
[1781068401.606866] seq=58 owd=40.112 ms
[1781068401.626915] seq=59 owd=40.158 ms
[1781068401.646823] seq=60 owd=40.159 ms
[1781068401.666914] seq=61 owd=40.155 ms
[1781068401.686812] seq=62 owd=40.141 ms
[1781068401.706891] seq=63 owd=40.136 ms
[1781068401.726889] seq=64 owd=40.136 ms
[1781068401.746807] seq=65 owd=40.139 ms
[1781068401.766788] seq=66 owd=40.128 ms
[1781068401.786887] seq=67 owd=40.135 ms
[1781068401.806789] seq=68 owd=40.130 ms
[1781068401.826798] seq=69 owd=40.144 ms
[1781068401.866907] seq=71 owd=40.156 ms
[1781068401.886907] seq=72 owd=40.143 ms
[1781068401.926794] seq=74 owd=40.131 ms
[1781068401.946860] seq=75 owd=40.079 ms
[1781068401.966814] seq=76 owd=40.147 ms
[1781068402.006782] seq=78 owd=40.130 ms
[1781068402.026698] seq=79 owd=40.051 ms
[1781068402.046676] seq=80 owd=40.032 ms
[1781068402.066713] seq=81 owd=40.052 ms
[1781068402.086836] seq=82 owd=40.085 ms
[1781068402.106838] seq=83 owd=40.084 ms
[1781068402.166728] seq=86 owd=40.061 ms
[1781068402.186831] seq=87 owd=40.079 ms
[1781068402.206856] seq=88 owd=40.103 ms
[1781068402.246788] seq=90 owd=40.122 ms
[1781068402.266791] seq=91 owd=40.053 ms
[1781068402.286702] seq=92 owd=40.051 ms
[1781068402.326712] seq=94 owd=40.053 ms
[1781068402.366801] seq=96 owd=40.147 ms
[1781068402.386792] seq=97 owd=40.137 ms
[1781068402.426754] seq=99 owd=40.107 ms
[1781068402.446875] seq=100 owd=40.123 ms
[1781068402.466909] seq=101 owd=40.114 ms
[1781068402.486898] seq=102 owd=40.137 ms
[1781068402.506895] seq=103 owd=40.138 ms
[1781068402.546911] seq=105 owd=40.157 ms
[1781068402.566906] seq=106 owd=40.154 ms
[1781068402.646931] seq=110 owd=40.178 ms
[1781068402.666802] seq=111 owd=40.137 ms
[1781068402.706938] seq=113 owd=40.182 ms
[1781068402.746909] seq=115 owd=40.156 ms
[1781068402.786908] seq=117 owd=40.153 ms
[1781068402.806890] seq=118 owd=40.138 ms
[1781068402.826830] seq=119 owd=40.073 ms
[1781068402.846896] seq=120 owd=40.138 ms
[1781068402.866741] seq=121 owd=40.081 ms
[1781068402.886890] seq=122 owd=40.137 ms
[1781068402.906891] seq=123 owd=40.138 ms
[1781068402.946898] seq=125 owd=40.081 ms
[1781068402.966802] seq=126 owd=40.137 ms
[1781068403.006869] seq=128 owd=40.116 ms
[1781068403.046779] seq=130 owd=40.049 ms
[1781068403.086799] seq=132 owd=40.070 ms
[1781068403.106847] seq=133 owd=40.117 ms
[1781068403.126929] seq=134 owd=40.179 ms
[1781068403.146811] seq=135 owd=40.149 ms
[1781068403.166951] seq=136 owd=40.133 ms
[1781068403.186899] seq=137 owd=40.135 ms
[1781068403.266894] seq=141 owd=40.139 ms
[1781068403.306887] seq=143 owd=40.136 ms
[1781068403.346809] seq=145 owd=40.140 ms
[1781068403.366890] seq=146 owd=40.139 ms
[1781068403.386827] seq=147 owd=40.073 ms
[1781068403.406708] seq=148 owd=40.050 ms
[1781068403.446809] seq=150 owd=40.056 ms
[1781068403.466715] seq=151 owd=40.061 ms
[1781068403.486882] seq=152 owd=40.139 ms
[1781068403.506765] seq=153 owd=40.102 ms
[1781068403.566756] seq=156 owd=40.109 ms
[1781068403.606769] seq=158 owd=40.127 ms
[1781068403.626773] seq=159 owd=40.133 ms
[1781068403.646799] seq=160 owd=40.159 ms
[1781068403.666747] seq=161 owd=40.106 ms
[1781068403.686855] seq=162 owd=40.137 ms
[1781068403.706811] seq=163 owd=40.141 ms
[1781068403.726800] seq=164 owd=40.144 ms
[1781068403.746801] seq=165 owd=40.147 ms
[1781068403.766804] seq=166 owd=40.137 ms
[1781068403.786722] seq=167 owd=40.064 ms
[1781068403.826801] seq=169 owd=40.144 ms
[1781068403.846802] seq=170 owd=40.148 ms
[1781068403.866888] seq=171 owd=40.137 ms
[1781068403.886816] seq=172 owd=40.148 ms
[1781068403.906896] seq=173 owd=40.134 ms
[1781068403.926839] seq=174 owd=40.079 ms
[1781068403.946887] seq=175 owd=40.134 ms
[1781068403.986800] seq=177 owd=40.141 ms
[1781068404.026894] seq=179 owd=40.138 ms
[1781068404.086811] seq=182 owd=40.142 ms
[1781068404.126903] seq=184 owd=40.150 ms
[1781068404.166907] seq=186 owd=40.156 ms
[1781068404.246751] seq=190 owd=40.084 ms
[1781068404.266786] seq=191 owd=40.127 ms
[1781068404.306822] seq=193 owd=40.166 ms
[1781068404.326888] seq=194 owd=40.133 ms
[1781068404.346890] seq=195 owd=40.139 ms
[1781068404.386804] seq=197 owd=40.136 ms
[1781068404.466772] seq=201 owd=40.117 ms
[1781068404.486696] seq=202 owd=40.041 ms
[1781068404.506719] seq=203 owd=40.060 ms
[1781068404.526789] seq=204 owd=40.118 ms
[1781068404.566801] seq=206 owd=40.069 ms
[1781068404.606798] seq=208 owd=40.061 ms
[1781068404.646777] seq=210 owd=40.131 ms
[1781068404.666814] seq=211 owd=40.149 ms
[1781068404.686754] seq=212 owd=40.095 ms
[1781068404.706846] seq=213 owd=40.115 ms
[1781068404.746893] seq=215 owd=40.163 ms
[1781068404.766883] seq=216 owd=40.135 ms
[1781068404.786923] seq=217 owd=40.136 ms
[1781068404.806914] seq=218 owd=40.135 ms
[1781068404.826915] seq=219 owd=40.164 ms
[1781068404.986817] seq=227 owd=40.151 ms
[1781068405.006857] seq=228 owd=40.103 ms
[1781068405.026886] seq=229 owd=40.131 ms
[1781068405.046887] seq=230 owd=40.132 ms
[1781068405.066903] seq=231 owd=40.149 ms
[1781068405.086898] seq=232 owd=40.141 ms
[1781068405.106911] seq=233 owd=40.133 ms
[1781068405.126890] seq=234 owd=40.136 ms
[1781068405.166900] seq=236 owd=40.143 ms
[1781068405.206903] seq=238 owd=40.134 ms
[1781068405.286801] seq=242 owd=40.141 ms
[1781068405.306907] seq=243 owd=40.154 ms
[1781068405.326889] seq=244 owd=40.137 ms
[1781068405.346889] seq=245 owd=40.133 ms
[1781068405.426909] seq=249 owd=40.154 ms
[1781068405.446889] seq=250 owd=40.136 ms
[1781068405.466895] seq=251 owd=40.137 ms
[1781068405.486892] seq=252 owd=40.136 ms
[1781068405.506930] seq=253 owd=40.175 ms
[1781068405.546947] seq=255 owd=40.160 ms
[1781068405.566889] seq=256 owd=40.133 ms
[1781068405.626889] seq=259 owd=40.134 ms
[1781068405.666826] seq=261 owd=40.068 ms
[1781068405.706789] seq=263 owd=40.047 ms
[1781068405.766884] seq=266 owd=40.221 ms
[1781068405.806889] seq=268 owd=40.126 ms
[1781068405.846863] seq=270 owd=40.133 ms
[1781068405.866868] seq=271 owd=40.132 ms
[1781068405.966899] seq=276 owd=40.143 ms
[1781068405.986805] seq=277 owd=40.138 ms
[1781068406.026876] seq=279 owd=40.124 ms
[1781068406.066868] seq=281 owd=40.110 ms
[1781068406.106900] seq=283 owd=40.145 ms
[1781068406.206917] seq=288 owd=40.163 ms
[1781068406.246895] seq=290 owd=40.141 ms
[1781068406.306909] seq=293 owd=40.155 ms
[1781068406.366919] seq=296 owd=40.142 ms
[1781068406.386889] seq=297 owd=40.135 ms
[1781068406.406909] seq=298 owd=40.154 ms
[1781068406.486890] seq=302 owd=40.139 ms
[1781068406.506886] seq=303 owd=40.133 ms
[1781068406.566883] seq=306 owd=40.135 ms
[1781068406.586803] seq=307 owd=40.136 ms
[1781068406.606906] seq=308 owd=40.155 ms
[1781068406.626889] seq=309 owd=40.134 ms
[1781068406.646904] seq=310 owd=40.152 ms
[1781068406.666896] seq=311 owd=40.136 ms
[1781068406.706904] seq=313 owd=40.150 ms
[1781068406.726906] seq=314 owd=40.154 ms
